# id	left	top	right	bottom	texture_id
[SPRITES]

#Cloud
51000	390	117	405	132	20
52000	408	117	423	132	20
53000	426	117	441	132	20

#Blank
000000	153	51	170	68	30


#1st Floor
71000	222	221	239	238	30
72000	237	221	256	238	30
73000	254	221	271	238	30




#2_1st Floor
70101	255	119	272	136	30
70102	272	119	289	136	30
70103	289	119	306	136	30




#2_2nd Floor
70201	255	136	272	153	30
70202	272	136	289	153	30
70203	289	136	306	153	30




#Green Wall
70011	51	0	68	17	30
70012	68	0	85	17	30
70013	85	0	102	17	30

70014	51	17	68	34	30
70015	68	17	85	34	30
70016	85	17	102	34	30

70017	51	34	68	51	30
70018	68	34	85	51	30
70019	85	34	102	51	30



#Pink Wall
70021	1	52	16	67	30
70022	18	52	33	67	30
70023	35	52	50	67	30

70024	1	69	16	84	30
70025	18	69	33	84	30
70026	35	69	50	84	30

70027	1	86	16	101	30
70028	18	86	33	101	30
70029	35	86	50	101	30




#White Wall
70031	0	0	17	17	30
70032	17	0	34	17	30
70033	34	0	51	17	30

70034	0	17	17	34	30
70035	17	17	34	34	30
70036	34	17	51	34	30

70037	0	34	17	51	30
70038	17	34	34	51	30
70039	34	34	51	51	30




#Blue Wall
70041	51	51	68	68	30
70042	68	51	85	68	30
70043	85	51	102	68	30

70044	51	68	68	85	30
70045	68	68	85	85	30
70046	85	68	102	85	30

70047	51	85	68	102	30
70048	68	85	85	102	30
70049	85	85	102	102	30




#Wall_Shadow
70091	102	76	111	85	30

70092	103	86	110	101	30

70093	76	102	85	111	30
70094	85	102	102	111	30
70095	102	102	111	111	30



#Bush_1 Black
70051	102	0	119	17	30
70052	109	0	136	17	30

70053	102	17	119	34	30
70054	119	17	136	34	30

70055	102	34	119	51	30
70056	119	34	136	51	30

70057	102	51	119	68	30
70058	119	51	136	68	30



#Bush_2 Diamond Green
70061	136	0	153	17	30
70062	153	0	170	17	30

70063	136	17	153	34	30
70064	153	17	170	34	30

70065	136	34	153	51	30
70066	153	34	170	51	30

70067	136	51	153	68	30


#Grass1
70071	221	204	238	221	30



#Cloud1
70081	187	187	204	204	30
70082	204	187	221	204	30

70083	187	204	204	221	30
70084	204	204	221	221	30



#Pipe
70111	324	52	339	67	30
70112	341	52	356	67	30

70113	324	69	339	84	30
70114	341	69	355	84	30









# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
50000	51000	100 
